Time,Open,High,Low,Last,Change,%Chg,Volume
"01/12/2021 12:20",35453.79,35453.79,35311.77,35321.99,-131.43,-0.37%,153
"01/12/2021 12:15",35376.73,35474.29,35308.09,35453.42,73.44,+0.21%,166
"01/12/2021 12:10",34992.55,35456.44,34992.55,35379.98,388.39,+1.11%,155
"01/12/2021 12:05",34844.48,34991.59,34830.06,34991.59,142.36,+0.41%,139
"01/12/2021 12:00",34985.5,35046.41,34835.08,34849.23,-129.75,-0.37%,152
"01/12/2021 11:55",35051.36,35052.95,34936.14,34978.98,-58.93,-0.17%,173
"01/12/2021 11:50",34895.97,35037.91,34861.57,35037.91,141.94,+0.41%,144
"01/12/2021 11:45",34660.95,34895.97,34612.63,34895.97,235.02,+0.68%,152
"01/12/2021 11:40",34672.35,34692.65,34605.75,34660.95,-11.44,-0.03%,165
"01/12/2021 11:35",34813.47,34813.47,34618.79,34672.39,-141.08,-0.41%,163
"01/12/2021 11:30",34599.21,34882.35,34599.21,34813.47,214.1,+0.62%,164
"01/12/2021 11:25",34711.43,34753,34599.37,34599.37,-112.06,-0.32%,160
"01/12/2021 11:20",34952.3,34952.3,34711.43,34711.43,-240.03,-0.69%,158
"01/12/2021 11:15",35040.07,35065.8,34951.46,34951.46,-87.59,-0.25%,152
"01/12/2021 11:10",35187.33,35259.51,35036.04,35039.05,-149.2,-0.42%,142
"01/12/2021 11:05",34824.59,35226.12,34824.59,35188.25,363.41,+1.04%,143
"01/12/2021 11:00",34985.91,35008.61,34824.84,34824.84,-160.29,-0.46%,146
"01/12/2021 10:55",34794.53,34987.5,34794.44,34985.13,185.24,+0.53%,149
"01/12/2021 10:50",34603.96,34819.32,34542.08,34799.89,196.2,+0.57%,159
"01/12/2021 10:45",34633.97,34742.73,34603.69,34603.69,-30.28,-0.09%,156
"01/12/2021 10:40",34660.64,34736.29,34569.52,34633.97,-26.67,-0.08%,147
"01/12/2021 10:35",34495.64,34680.79,34446.07,34660.64,165,+0.48%,164
"01/12/2021 10:30",34593.21,34593.61,34402.79,34495.64,-97.57,-0.28%,140
"01/12/2021 10:25",34614.59,34656.57,34587.51,34593.21,-21.22,-0.06%,150
"01/12/2021 10:20",34630.53,34755.33,34614.43,34614.43,-16.1,-0.05%,159
"01/12/2021 10:15",34420.65,34630.53,34329.65,34630.53,209.88,+0.61%,149
"01/12/2021 10:10",34497.79,34506.15,34399.07,34420.65,-77.62,-0.22%,157
"01/12/2021 10:05",34377.5,34511.59,34352.25,34498.27,114.62,+0.33%,143
"01/12/2021 10:00",33819.71,34384.78,33818.33,34383.65,563.94,+1.67%,125
"01/12/2021 09:55",33930.82,33993.52,33819.71,33819.71,-111.1,-0.33%,172
"01/12/2021 09:50",34160.73,34160.96,33930.81,33930.81,-230.52,-0.67%,168
"01/12/2021 09:45",33874.88,34161.33,33800.81,34161.33,283.92,+0.84%,170
"01/12/2021 09:40",33782.76,33919.82,33744.98,33877.41,94.25,+0.28%,161
"01/12/2021 09:35",33854.65,34017.83,33733.72,33783.16,-71.49,-0.21%,146
"01/12/2021 09:30",34076.94,34076.94,33812.85,33854.65,-214.35,-0.63%,165
"01/12/2021 09:25",34221.36,34237.2,34061.34,34069,-152.36,-0.45%,149
"01/12/2021 09:20",33927.96,34250.92,33904.79,34221.36,292.95,+0.86%,145
"01/12/2021 09:15",33738.25,33928.49,33688.8,33928.41,190.16,+0.56%,153
"01/12/2021 09:10",33890.14,33890.14,33738.25,33738.25,-151.89,-0.45%,164
"01/12/2021 09:05",33645.18,33909.08,33644.03,33890.14,243.87,+0.72%,147
"01/12/2021 09:00",33408.57,33784.85,33408.57,33646.27,239.32,+0.72%,130
"01/12/2021 08:55",33401.07,33463.84,33378.96,33406.95,4.95,+0.01%,163
"01/12/2021 08:50",33157.74,33402.02,32957.29,33402,244.26,+0.74%,164
"01/12/2021 08:45",33196.95,33453.8,33157.74,33157.74,-39.21,-0.12%,147
"01/12/2021 08:40",32947.63,33223.32,32946.03,33196.95,259.23,+0.79%,149
"01/12/2021 08:35",32946.83,32946.83,32615.1,32937.72,-9.11,-0.03%,136
"01/12/2021 08:30",32913.55,33184.96,32913.55,32946.83,33.28,+0.10%,139
"01/12/2021 08:25",33270.4,33436.37,32913.55,32913.55,-375.82,-1.13%,146
"01/12/2021 08:20",33836.68,33836.68,33286.78,33289.37,-554.03,-1.64%,152
"01/12/2021 08:15",33825.15,34009.23,33807.5,33843.4,-9.14,-0.03%,153
"01/12/2021 08:10",33911.21,33993.22,33822.01,33852.54,-58.67,-0.17%,158
"01/12/2021 08:05",33825.33,33914.06,33503.36,33911.21,85.88,+0.25%,171
"01/12/2021 08:00",33371.55,33825.33,33351.01,33825.33,453.78,+1.36%,160
"01/12/2021 07:55",33841.32,33841.32,33371.55,33371.55,-472.6,-1.40%,140
"01/12/2021 07:50",33676.4,33990.19,33676.4,33844.15,168.29,+0.50%,143
"01/12/2021 07:45",33879.47,34017.1,33672.03,33675.86,-203.61,-0.60%,151
"01/12/2021 07:40",34300.14,34300.14,33879.24,33879.47,-420.67,-1.23%,127
"01/12/2021 07:35",34326.38,34458.87,34300.14,34300.14,-35.74,-0.10%,152
"01/12/2021 07:30",34606.79,34682.54,34310.2,34335.88,-271.41,-0.78%,160
"01/12/2021 07:25",34621.6,34621.88,34478.5,34607.29,-15.53,-0.04%,160
"01/12/2021 07:20",34937.7,34939.78,34581.96,34622.82,-314.88,-0.90%,141
"01/12/2021 07:15",35285.5,35286.31,34927.16,34937.7,-347.8,-0.99%,175
"01/12/2021 07:10",35359.4,35378.68,35269,35285.5,-73.9,-0.21%,185
"01/12/2021 07:05",35151.73,35366.61,35151.73,35359.4,205.71,+0.59%,186
"01/12/2021 07:00",35027.03,35227.98,35021.4,35153.69,88.41,+0.25%,171
"01/12/2021 06:55",35156.75,35169.97,34999.31,35065.28,-91.47,-0.26%,171
"01/12/2021 06:50",34918.96,35167.55,34908.52,35156.75,237.79,+0.68%,157
"01/12/2021 06:45",34959.77,35114.83,34904.95,34918.96,-38.41,-0.11%,162
"01/12/2021 06:40",35129.79,35179.31,34957.37,34957.37,-172.42,-0.49%,165
"01/12/2021 06:35",35104.63,35192.1,35079.5,35129.79,25.16,+0.07%,162
"01/12/2021 06:30",35235.11,35280.69,35104.54,35104.63,-130.48,-0.37%,176
"01/12/2021 06:25",35300.48,35306.48,35214.44,35235.11,-65.37,-0.19%,175
"01/12/2021 06:20",35455.4,35463.99,35256.98,35300.48,-154.92,-0.44%,164
"01/12/2021 06:15",35650.18,35650.43,35452.2,35455.4,-194.78,-0.55%,178
"01/12/2021 06:10",35574.65,35654.73,35501.36,35650.18,75.07,+0.21%,173
"01/12/2021 06:05",35597.05,35645.89,35564.62,35575.11,-21.94,-0.06%,160
"01/12/2021 06:00",35384.67,35598.35,35365.26,35597.05,212.38,+0.60%,162
"01/12/2021 05:55",35406.17,35449.98,35305.25,35384.67,-23.95,-0.07%,164
"01/12/2021 05:50",35378.34,35459.55,35241.29,35408.62,29.39,+0.08%,170
"01/12/2021 05:45",35271.82,35379.23,35223.23,35379.23,108.46,+0.31%,161
"01/12/2021 05:40",35443.73,35445.53,35189.14,35270.77,-173.02,-0.49%,169
"01/12/2021 05:35",35522.68,35578.29,35426.2,35443.79,-79.96,-0.23%,165
"01/12/2021 05:30",35638.85,35682.01,35523.75,35523.75,-117.03,-0.33%,181
"01/12/2021 05:25",35753.82,35786.82,35615.41,35640.78,-116.53,-0.33%,174
"01/12/2021 05:20",35679.86,35769.02,35634.01,35757.31,77.56,+0.22%,173
"01/12/2021 05:15",35463.55,35706.8,35455.34,35679.75,216.2,+0.61%,159
"01/12/2021 05:10",35548.15,35551.04,35463.55,35463.55,-84.6,-0.24%,163
"01/12/2021 05:05",35267.78,35567.81,35267.78,35548.15,280.79,+0.80%,175
"01/12/2021 05:00",35094.75,35268.21,35082.74,35267.36,172.61,+0.49%,176
"01/12/2021 04:55",35208.82,35251.41,35054.2,35094.75,-114.07,-0.32%,175
"01/12/2021 04:50",35013.05,35208.82,35003.25,35208.82,198.96,+0.57%,158
"01/12/2021 04:45",35101.29,35214.62,34977,35009.86,-91.44,-0.26%,160
"01/12/2021 04:40",34960.11,35101.3,34842.41,35101.3,124.59,+0.36%,168
"01/12/2021 04:35",35017.27,35198.38,34969.29,34976.71,-50.81,-0.15%,153
"01/12/2021 04:30",34939.17,35167.22,34856.34,35027.52,88.56,+0.25%,158
"01/12/2021 04:25",35171.26,35198.47,34935.12,34938.96,-232.3,-0.66%,147
"01/12/2021 04:20",35343.74,35343.74,35129.32,35171.26,-172.4,-0.49%,169
"01/12/2021 04:15",35352.68,35352.68,35238.55,35343.66,-9.02,-0.03%,155
"01/12/2021 04:10",35605.72,35605.72,35326.11,35352.68,-253.04,-0.71%,159
"01/12/2021 04:05",36098.36,36098.36,35605.72,35605.72,-487.32,-1.35%,142
"01/12/2021 04:00",35911.89,36096.59,35910.66,36093.04,181.15,+0.50%,157
"01/12/2021 03:55",35984.44,35988.36,35883.66,35911.89,-79.58,-0.22%,174
