,Date,Time,Open,High,Low,Close,ST_ALMA
334,04/17/2012,14:21:15.000,2724.25,2725.5,2723.75,2724.5,2722.08
335,04/17/2012,14:30:00.000,2724.25,2728.25,2714.25,2714.25,2722.33
336,04/17/2012,16:10:47.340,2714,2720.5,2711,2711,2719.63
337,04/18/2012,03:30:39.400,2710.75,2717.5,2708.5,2708.5,2715.23
338,04/18/2012,06:54:03.900,2708.25,2709.25,2706,2706,2710.94
339,04/18/2012,07:02:04.000,2705.75,2707,2703.5,2703.5,2707.88
340,04/18/2012,07:36:24.000,2703.25,2721,2702,2721,2708.04
341,04/18/2012,09:49:35.470,2721.25,2723.5,2717.5,2723.5,2712.73
342,04/18/2012,10:16:13.200,2723.75,2724.75,2703.75,2723.5,2717.4
343,04/18/2012,14:25:33.000,2723.75,2724,2720.5,2721.25,2720.92
344,04/18/2012,14:30:00.000,2721.25,2728.25,2713.75,2713.75,2720.19
345,04/18/2012,15:52:58.100,2713.5,2715.5,2711.25,2711.25,2718.17
346,04/18/2012,16:00:01.800,2711,2712,2708.75,2708.75,2714.08
347,04/18/2012,16:00:43.170,2708.5,2710.25,2706.25,2706.25,2710.27
